Speed_ref,Speed,Current,Bus_voltage,PWM
2491.36,0.0,0.0,47.97,0.0
2491.36,52.03,57.732,48.45,55.4
2491.36,180.95,59.908,47.45,70.7
2491.36,321.25,59.199,48.26,77.0
2491.36,412.83,57.783,47.99,71.4
2491.36,487.18,55.58,47.31,71.7
2491.36,552.15,55.972,47.29,72.0
2491.36,617.76,55.235,48.13,72.7
2491.36,645.99,52.658,47.5,68.9
2491.36,654.81,52.505,48.27,64.5
2491.36,669.56,52.092,48.52,66.1
2491.36,682.22,52.504,47.41,66.2
2491.36,687.12,52.499,47.68,66.4
2491.36,714.8,51.816,47.87,70.5
2491.36,733.17,52.739,47.83,68.5
2491.36,710.49,50.329,48.0,62.6
2491.36,733.07,53.052,46.77,68.7
2491.36,760.51,52.286,46.92,71.8
2491.36,758.54,52.413,47.26,66.6
2491.36,736.03,49.904,48.2,63.6
2491.36,745.38,51.135,46.83,68.4
2491.36,741.78,50.717,48.35,63.6
2491.36,750.66,53.519,47.86,67.5
2491.36,735.75,52.881,48.13,65.0
2491.36,743.95,52.96,47.04,66.4
2491.36,767.86,52.528,47.48,68.7
2491.36,777.33,52.596,47.57,69.3
2491.36,764.93,51.937,47.7,64.3
2491.36,730.25,51.618,47.83,60.5
2491.36,705.46,52.777,47.53,61.0
2491.36,725.86,54.099,47.47,69.9
2491.36,730.61,52.554,47.95,68.8
2491.36,747.99,52.597,46.88,67.8
2491.36,755.22,50.602,48.22,68.6
2491.36,748.99,52.667,48.08,63.8
2491.36,772.89,53.554,46.84,72.6
2491.36,772.95,52.632,47.67,67.4
2491.36,767.28,52.386,47.99,65.5
2491.36,778.87,53.831,46.81,69.2
2491.36,777.46,50.486,47.57,65.1
2491.36,753.11,52.44,47.56,63.3
2491.36,750.53,51.296,47.24,64.5
2491.36,756.79,51.036,47.53,67.0
2491.36,739.87,51.385,47.31,63.0
2491.36,735.48,51.765,48.19,66.6
2491.36,724.97,53.14,47.2,66.3
2491.36,724.41,51.375,47.97,64.1
2491.36,721.78,53.405,46.68,66.4
2491.36,739.87,52.191,47.39,67.8
2491.36,731.68,51.463,47.52,66.2
2491.36,739.05,54.057,47.39,67.0
2491.36,719.4,51.381,47.44,61.9
2491.36,728.58,52.187,47.15,67.2
2491.36,708.55,51.69,47.98,63.1
2491.36,694.62,51.855,48.12,62.5
2491.36,684.91,52.195,47.63,60.9
2491.36,672.71,52.083,47.1,61.8
2491.36,667.51,51.544,48.51,62.8
2491.36,686.59,52.09,47.01,68.5
2491.36,696.23,52.69,46.73,68.1
2491.36,728.57,53.92,46.39,70.0
2491.36,746.19,51.464,47.46,69.8
2491.36,753.91,52.207,47.34,68.4
2491.36,767.47,52.561,48.0,67.2
2491.36,756.92,52.964,47.83,66.0
2491.36,756.24,51.521,47.64,66.8
2491.36,749.41,50.388,47.41,65.2
2491.36,764.67,52.005,48.0,68.4
2491.36,748.41,51.784,48.52,63.6
2491.36,745.07,50.462,48.06,64.7
2491.36,741.27,52.246,47.33,64.7
2491.36,732.57,51.109,47.97,64.0
2491.36,737.73,53.072,47.32,65.9
2491.36,741.21,51.862,46.91,67.8
2491.36,753.3,50.368,47.04,67.1
2491.36,747.04,53.152,47.4,64.1
2491.36,752.67,51.263,47.57,65.9
2491.36,728.72,52.835,48.7,60.9
2491.36,746.75,52.726,46.95,70.3
2491.36,753.49,53.562,48.14,67.4
2491.36,746.88,52.117,47.38,65.3
2491.36,762.62,53.225,46.4,69.7
2491.36,777.5,52.026,47.14,70.3
2491.36,787.57,52.441,48.07,67.3
2491.36,767.61,52.346,47.77,63.4
2491.36,745.22,51.256,47.8,63.5
2491.36,741.68,51.403,48.16,66.9
2491.36,754.55,52.479,46.95,67.7
2491.36,765.39,53.663,46.94,67.7
2491.36,776.75,52.333,46.23,71.2
2491.36,786.17,52.459,47.92,67.4
2491.36,760.25,50.676,47.89,63.0
2491.36,755.42,48.846,47.87,66.2
2491.36,739.88,50.39,46.99,63.9
2491.36,741.37,51.935,46.77,64.4
2491.36,744.95,53.222,46.85,66.2
2491.36,784.33,52.974,46.87,72.4
2491.36,745.71,50.806,48.46,60.7
2491.36,748.57,50.605,48.0,66.8
2491.36,729.63,51.814,47.4,62.3
2491.36,731.48,53.399,47.68,65.7
2491.36,735.68,54.205,47.13,67.6
2491.36,734.2,51.434,47.71,65.6
2491.36,721.84,50.796,47.0,64.5
2491.36,685.7,52.757,48.12,58.5
2491.36,702.16,53.941,47.12,65.2
2491.36,702.86,50.874,47.92,66.2
2491.36,712.38,52.308,47.28,66.8
2491.36,742.97,53.135,47.01,69.9
2491.36,742.59,52.075,48.31,66.4
2491.36,745.71,52.799,47.57,67.1
2491.36,729.43,50.791,47.43,63.8
2491.36,720.17,53.067,47.95,64.2
2491.36,724.19,50.999,46.8,67.6
2491.36,723.68,53.531,48.11,64.7
2491.36,710.57,51.565,47.55,62.6
2491.36,706.5,52.106,47.84,65.5
2491.36,705.07,53.484,46.77,65.1
2491.36,732.47,53.16,47.25,68.6
2491.36,739.85,51.438,47.5,66.8
2491.36,715.03,49.828,48.2,60.4
2491.36,736.83,51.712,47.77,69.0
2491.36,734.15,51.143,47.34,65.5
2491.36,745.02,50.808,47.63,67.5
2491.36,729.9,52.946,48.23,63.3
2491.36,730.12,52.058,47.35,68.2
2491.36,736.07,51.44,47.31,67.8
2491.36,733.49,51.117,46.58,65.8
2491.36,740.62,51.279,47.31,68.2
2491.36,749.76,52.631,46.64,66.5
2491.36,757.51,51.163,47.41,67.7
2491.36,738.91,52.809,48.08,63.7
2491.36,742.75,53.739,46.38,68.5
2491.36,737.8,52.983,48.18,64.6
2491.36,710.44,51.373,47.53,60.1
2491.36,682.0,51.489,47.67,60.7
2491.36,707.26,53.09,47.16,69.6
2491.36,722.43,53.009,46.63,67.1
2491.36,726.19,52.488,47.08,67.5
2491.36,761.7,51.953,48.39,72.0
2491.36,780.62,52.998,46.81,71.3
2491.36,778.09,51.938,46.71,66.7
2491.36,764.75,50.294,47.62,65.0
2491.36,747.83,50.915,47.56,63.1
2491.36,750.71,54.332,47.42,64.1
2491.36,759.87,51.278,47.48,67.6
2491.36,737.44,51.601,47.95,62.6
2491.36,740.57,54.446,47.15,68.5
2491.36,735.87,52.285,47.59,66.7
2491.36,717.91,50.842,48.11,63.4
2491.36,734.43,52.44,47.0,66.7
2491.36,758.03,52.283,46.25,69.7
2491.36,729.93,51.237,47.96,62.6
2491.36,743.49,52.558,48.72,67.6
2491.36,747.66,51.653,47.48,67.2
2491.36,729.41,53.648,47.68,64.2
2491.36,733.5,54.085,47.34,67.1
2491.36,769.19,52.235,48.18,70.3
2491.36,768.21,53.456,47.48,66.1
2491.36,759.12,51.048,47.42,66.1
2491.36,770.29,51.894,47.91,68.3
2491.36,762.05,52.974,47.29,65.6
2491.36,746.39,53.579,46.91,64.9
2491.36,742.61,52.651,47.97,65.6
2491.36,736.22,51.518,47.28,64.2
2491.36,747.63,52.868,46.92,69.8
2491.36,733.17,52.621,48.63,64.2
2491.36,736.56,53.417,47.43,66.1
2491.36,740.88,51.723,47.71,68.0
2491.36,751.04,51.784,47.49,67.4
2491.36,755.82,52.391,47.04,67.2
2491.36,728.85,49.385,47.97,62.6
2491.36,725.53,54.36,47.66,66.5
2491.36,734.1,53.56,47.11,68.6
2491.36,755.01,51.557,47.65,68.9
2491.36,769.29,53.669,47.2,68.2
2491.36,747.15,50.679,47.06,62.8
2491.36,776.26,53.346,46.75,71.7
2491.36,775.76,50.906,47.63,66.7
2491.36,764.56,50.978,47.36,64.9
2491.36,743.27,50.967,48.37,62.8
2491.36,741.85,51.386,47.49,66.4
2491.36,733.35,52.821,47.17,64.5
2491.36,735.56,53.151,47.54,67.9
2491.36,754.33,53.43,46.79,68.9
2491.36,741.55,53.584,47.53,64.3
2491.36,762.11,53.009,47.55,70.4
2491.36,774.64,52.32,47.57,67.5
2491.36,745.67,54.528,48.3,61.8
2491.36,720.95,53.954,48.96,61.3
2491.36,700.04,49.568,47.91,64.1
2491.36,686.99,53.356,48.17,64.1
2491.36,683.7,51.008,48.79,66.0
2491.36,717.14,54.464,46.87,70.9
2491.36,730.82,53.45,47.49,69.3
2491.36,732.53,50.975,47.22,68.1
2491.36,757.91,53.031,47.76,71.9
2491.36,752.24,51.717,47.68,65.3
2491.36,769.84,52.314,47.02,69.1
2491.36,749.69,50.003,47.6,63.6
2491.36,731.68,52.081,48.09,64.6
2491.36,747.61,51.1,46.81,68.0
2491.36,742.64,50.455,47.19,63.8
2491.36,767.12,51.612,46.87,72.0
2491.36,773.94,53.583,47.63,67.7
2491.36,741.89,51.224,48.31,60.2
2491.36,745.25,52.207,46.55,65.0
2491.36,745.98,50.29,47.57,66.0
2491.36,731.33,52.146,47.13,63.7
2491.36,742.1,51.279,47.94,68.9
2491.36,748.79,50.264,47.35,67.7
2491.36,734.73,51.651,47.65,63.8
2491.36,731.3,52.041,47.5,66.6
2491.36,727.56,52.038,48.02,68.0
2491.36,703.24,50.286,48.7,60.9
2491.36,726.07,51.618,46.89,68.0
2491.36,720.51,52.456,47.07,65.1
2491.36,709.9,51.422,47.75,63.8
